"","name","r2","coef","slope1","slope2","slope3"
"","theoretical",0.497531135895145,3.84933952953607,NA,NA,NA
"(Intercept)","empirical",0.503709266314088,3.85247002147032,0.421580539922903,0.323301639825615,0.501266428283679
