"","flag_swot","flag_hydraulicWide","n","perc"
"1","Small","Rh=/=H",56769,40.722063612757
"2","Small","Rh=H",82637,59.277936387243
"3","SWOT","Rh=/=H",3690,11.2123974475843
"4","SWOT","Rh=H",29220,88.7876025524157
