"","river","key","r","NRMSE","rBIAS","KGE","n_data"
"1","Brahmaputra","FCO2_BIKER",0.337347533813755,0.495263116254422,-0.0979057948448783,0.308056523575085,8
"2","Brahmaputra","FCO2_brinkerhoff2019",0.732627504915376,1.39137687270615,1.13598607862417,-0.78521036413958,8
"3","Brahmaputra","FCO2_raymond2012",0.784151255607402,0.871032491628924,0.711451265637237,-0.0144048344093604,8
"4","Brahmaputra","FCO2_raymond2013",0.7464160506955,1.3252238485644,1.08450517938762,-0.690598305445303,8
"5","Connecticut","FCO2_BIKER",0.959440952239202,0.252592521164919,0.171250964443493,0.771035401214292,15
"6","Connecticut","FCO2_brinkerhoff2019",0.973924231625325,0.362903911292214,0.27551193881159,0.561890642340328,15
"7","Connecticut","FCO2_raymond2012",0.980597325082509,0.11713206700598,0.020035252280416,0.936848931243784,15
"8","Connecticut","FCO2_raymond2013",0.975296118069253,0.318245516913334,0.23598395868894,0.620998013210277,15
"9","Cumberland","FCO2_BIKER",0.933449459745758,0.185837721522931,-0.121125317820813,0.839265999018043,12
"10","Cumberland","FCO2_brinkerhoff2019",0.998704473323434,0.12400918047249,-0.113136419178284,0.826447881975319,12
"11","Cumberland","FCO2_raymond2012",0.995734170159458,0.3109582635197,-0.28526168201399,0.561850918561494,12
"12","Cumberland","FCO2_raymond2013",0.998564125746438,0.151656933618041,-0.138778383743245,0.787302716170415,12
"13","Ganges","FCO2_BIKER",0.992810257174172,0.216355603834021,-0.174586135720744,0.777017875385382,25
"14","Ganges","FCO2_brinkerhoff2019",0.99735084788603,1.36441552564852,1.06035451183555,-0.593251840156632,25
"15","Ganges","FCO2_raymond2012",0.998976013649739,0.716400282229124,0.56074664660079,0.166012373239527,25
"16","Ganges","FCO2_raymond2013",0.99708298937877,1.28580604481285,0.995281574650682,-0.503226086244999,25
"17","GaronneDownstream","FCO2_BIKER",0.948979798976072,0.782392667599353,0.626023376856983,0.0851997417363618,25
"18","GaronneDownstream","FCO2_brinkerhoff2019",0.990681564157878,0.235667155549914,0.189631317888164,0.738305703350687,25
"19","GaronneDownstream","FCO2_raymond2012",0.985241505872286,0.107110503403103,-0.0279143799697784,0.952509015427469,25
"20","GaronneDownstream","FCO2_raymond2013",0.989207619754407,0.212145413791135,0.165239821351895,0.772657483685085,25
"21","GaronneUpstream","FCO2_BIKER",0.941743805467473,1.30659073080011,1.08562938670761,-0.448904821784457,25
"22","GaronneUpstream","FCO2_brinkerhoff2019",0.994330911542378,0.346947229511112,0.293069947599998,0.617225935418696,25
"23","GaronneUpstream","FCO2_raymond2012",0.990830151208716,0.122028503798496,0.0761968173451186,0.918074771565655,25
"24","GaronneUpstream","FCO2_raymond2013",0.992898586983776,0.330941491791979,0.278565751073889,0.640287033765949,25
"25","IowaRiver","FCO2_BIKER",0.99618137733091,0.234168902310278,0.158219655816985,0.712916744952598,23
"26","IowaRiver","FCO2_brinkerhoff2019",0.958790088263112,0.393356971598966,0.244394674158107,0.593211136713615,23
"27","IowaRiver","FCO2_raymond2012",0.964484275746161,0.19453142395209,0.0328890123307143,0.90900204266453,23
"28","IowaRiver","FCO2_raymond2013",0.961209536191876,0.365956539805138,0.226344192752051,0.628571084018178,23
"29","Jamuna","FCO2_BIKER",0.994913552728926,0.0971771910682341,-0.0534117649472152,0.90456952867005,18
"30","Jamuna","FCO2_brinkerhoff2019",0.993667053065648,2.33601110079244,1.83430293958026,-1.87678593547466,18
"31","Jamuna","FCO2_raymond2012",0.995109487685041,1.40690606917386,1.10409480429455,-0.730843229987183,18
"32","Jamuna","FCO2_raymond2013",0.993353112594465,2.23971169907724,1.752654144796,-1.76267076776102,18
"33","Kanawha","FCO2_BIKER",0.999495507249422,0.0346415019100736,0.00639059431937504,0.961954040853991,12
"34","Kanawha","FCO2_brinkerhoff2019",0.99997221365366,0.05212502976416,0.0448237454038449,0.941267339406036,12
"35","Kanawha","FCO2_raymond2012",0.999768078664927,0.198206802130189,-0.15768571337089,0.765476462486546,12
"36","Kanawha","FCO2_raymond2013",0.999967920656118,0.0155248129069524,0.0138229764455791,0.984761711223573,12
"37","Kushiyara","FCO2_BIKER",0.992944328496802,0.151885554749012,0.0653777003774171,0.879891818096948,25
"38","Kushiyara","FCO2_brinkerhoff2019",0.99891143109648,0.164505917996931,0.0999122523606232,0.831990643427898,25
"39","Kushiyara","FCO2_raymond2012",0.998903068779747,0.175412609648147,-0.13139445357841,0.821913421634431,25
"40","Kushiyara","FCO2_raymond2013",0.99893443811589,0.1175225396807,0.0654985675330059,0.883795848417276,25
"41","MississippiDownstream","FCO2_BIKER",0.981848726749483,1.28988169457769,1.03565576388556,-0.678932463327682,12
"42","MississippiDownstream","FCO2_brinkerhoff2019",0.998209885713576,0.484099746634591,0.43345808831728,0.428320133638689,12
"43","MississippiDownstream","FCO2_raymond2012",0.998787703356611,0.0880095952462132,0.0800192531781733,0.910344135570055,12
"44","MississippiDownstream","FCO2_raymond2013",0.998116021434822,0.432995426048142,0.388574711150279,0.491117002610707,12
"45","MississippiIntermediate","FCO2_BIKER",0.97844803422657,0.427010510928644,-0.342565897259872,0.536075075727423,12
"46","MississippiIntermediate","FCO2_brinkerhoff2019",0.999805597800487,0.45025940438162,0.366086964405433,0.482469710322712,12
"47","MississippiIntermediate","FCO2_raymond2012",0.999918814807169,0.0575475232154304,0.0476001132725691,0.935646262991891,12
"48","MississippiIntermediate","FCO2_raymond2013",0.999798959844341,0.396534791331581,0.322126126061925,0.544163700806344,12
