"","river","key","r2","nrmse","rBIAS","rrmse"
"1","AshSlough","FCO2_BIKER",1,1.25491987245358,1.25484361061751,1.34693643101234
"2","AshSlough","FCO2_brinkerhoff2019",1,0.194653613139049,0.162170988992962,0.163676666373415
"3","AshSlough","FCO2_raymond2012",1,0.203687548394447,0.19007339839971,0.185687762932042
"4","AshSlough","FCO2_raymond2013",1,0.445271132328866,0.444895570091387,0.488485792996041
"5","BerendaSlough","FCO2_BIKER",1,0.784227562995103,0.782989606465705,0.863529330341987
"6","BerendaSlough","FCO2_brinkerhoff2019",1,0.0617121638037582,0.041226436906674,0.0506848265519465
"7","BerendaSlough","FCO2_raymond2012",1,0.119638375931395,0.116397233568862,0.11594550464037
"8","BerendaSlough","FCO2_raymond2013",1,0.333555209861752,0.328346638891412,0.38415900870427
"9","Brahmaputra","FCO2_BIKER",0.973388555444092,0.315859300863072,-0.188295854116295,0.193231371478722
"10","Brahmaputra","FCO2_brinkerhoff2019",0.873692571618683,0.408354694037215,0.359785512513104,0.670999312340479
"11","Brahmaputra","FCO2_raymond2012",0.95586726081658,0.310957113984742,0.289831326966208,0.489634823646048
"12","Brahmaputra","FCO2_raymond2013",0.989517704745406,1.10817563018175,0.939902057962479,0.933902360550016
"13","ChowchillaCanal","FCO2_BIKER",1,0.418706057431436,0.417758414367869,0.458169682249907
"14","ChowchillaCanal","FCO2_brinkerhoff2019",1,0.195145563470175,0.00463887918804462,0.218786871744366
"15","ChowchillaCanal","FCO2_raymond2012",1,0.148180419670775,0.0490668369831279,0.1374122061478
"16","ChowchillaCanal","FCO2_raymond2013",1,0.277973444099782,0.266884641904968,0.358023710400479
"17","Connecticut","FCO2_BIKER",0.823724023112713,1.48054624481795,1.21652212985387,1.22541263987785
"18","Connecticut","FCO2_brinkerhoff2019",0.92371883720153,0.809122711595089,0.691728225876168,0.720477628721146
"19","Connecticut","FCO2_raymond2012",0.927537724785578,0.710214955859965,0.583005538569256,0.592972359707247
"20","Connecticut","FCO2_raymond2013",0.979781688365383,1.80890382594356,1.55552424421622,1.47796044744275
"21","Cumberland","FCO2_BIKER",0.737472738656623,0.362504287004025,-0.279561561173084,0.450623018097345
"22","Cumberland","FCO2_brinkerhoff2019",0.966590606661964,0.344718756411501,-0.322557086836144,0.353729468542412
"23","Cumberland","FCO2_raymond2012",0.985568147583286,0.41890685952379,-0.389552507734427,0.406758433697022
"24","Cumberland","FCO2_raymond2013",0.949354639164283,0.239025084778266,-0.198092675642781,0.21276709299727
"25","FresnoRiver","FCO2_BIKER",1,0.639263851727524,0.634069192271823,0.744464451399369
"26","FresnoRiver","FCO2_brinkerhoff2019",1,0.0782871378507549,0.0645252374184072,0.0643979672428544
"27","FresnoRiver","FCO2_raymond2012",1,0.0867313719656871,0.0864477577585721,0.0917581241100258
"28","FresnoRiver","FCO2_raymond2013",1,0.339706584692785,0.325917246742974,0.419051529371616
"29","Ganges","FCO2_BIKER",0.989278174489251,0.0890062764548177,-0.0644649726984509,0.084594496230777
"30","Ganges","FCO2_brinkerhoff2019",0.985324188624279,0.569509563203032,0.507750149241621,0.532075753864608
"31","Ganges","FCO2_raymond2012",0.999231570402433,0.249505504533375,0.222329862590955,0.227186018245678
"32","Ganges","FCO2_raymond2013",0.957429478716583,0.963679689325662,0.802894130677395,0.809919289835394
"33","GaronneDownstream","FCO2_BIKER",0.991886526603331,0.305886141516892,0.251004197907355,0.292465606958013
"34","GaronneDownstream","FCO2_brinkerhoff2019",0.99903212331122,0.0420327444363328,0.0304884900163935,0.0384612125823325
"35","GaronneDownstream","FCO2_raymond2012",0.995771535521875,0.0723598998020154,-0.0452624923641462,0.0634649292409318
"36","GaronneDownstream","FCO2_raymond2013",0.969733229267586,0.279421236820828,0.226290154883981,0.358475478694971
"37","GaronneUpstream","FCO2_BIKER",0.997004196114211,0.247755967909161,0.216111744873649,0.263196469262658
"38","GaronneUpstream","FCO2_brinkerhoff2019",0.99968511793037,0.126425458557018,0.10806099387559,0.118165599204718
"39","GaronneUpstream","FCO2_raymond2012",0.997893943939352,0.0801493587223159,0.071183527228173,0.109646854412545
"40","GaronneUpstream","FCO2_raymond2013",0.981181271953082,0.314579665014864,0.284633251130542,0.426690990122277
"41","GrantLineCanal","FCO2_BIKER",1,0.726375019777588,0.644850263208096,0.614872457846148
"42","GrantLineCanal","FCO2_brinkerhoff2019",1,0.188156078648278,-0.186408109748795,0.216543397023526
"43","GrantLineCanal","FCO2_raymond2012",1,0.233989516507105,-0.227172250451429,0.246209048813906
"44","GrantLineCanal","FCO2_raymond2013",1,0.0420461612346919,-0.0380518688151201,0.0368720237749003
"45","IowaRiver","FCO2_BIKER",0.977285656111851,0.575411108524118,0.483383821901298,0.515615789963343
"46","IowaRiver","FCO2_brinkerhoff2019",0.907447499795223,0.237291498970206,0.00891997065516836,0.209665451510947
"47","IowaRiver","FCO2_raymond2012",0.933960038926192,0.177461280670276,-0.0358250469476529,0.17208769488833
"48","IowaRiver","FCO2_raymond2013",0.984426424918866,0.13677806527956,0.0980565979912298,0.133822549833838
"49","Jamuna","FCO2_BIKER",0.959326560129588,0.510056264203219,0.42648613333753,0.504460926425114
"50","Jamuna","FCO2_brinkerhoff2019",0.988082555157501,1.2330425476389,1.02490041144516,1.00838110422553
"51","Jamuna","FCO2_raymond2012",0.996476322118978,0.656151643108229,0.552077828618159,0.547285505444743
"52","Jamuna","FCO2_raymond2013",0.987650733099625,1.38139066388489,1.19629908215052,1.26277037397312
"53","Kanawha","FCO2_BIKER",0.998844898656033,0.0831588913880454,-0.0750658319182979,0.0895210214305083
"54","Kanawha","FCO2_brinkerhoff2019",0.980148303363088,0.25552290955181,-0.225142859993396,0.239439906887824
"55","Kanawha","FCO2_raymond2012",0.990581120497634,0.330351969206383,-0.293601050537186,0.300121987309631
"56","Kanawha","FCO2_raymond2013",0.998093824391366,0.100885984438703,-0.0854164929845534,0.0852333023890642
"57","Kushiyara","FCO2_BIKER",0.884138614481447,0.925182312843544,0.751501403616004,1.06385892089175
"58","Kushiyara","FCO2_brinkerhoff2019",0.992112362349132,0.126861993839733,-0.106887091902761,0.179277953667281
"59","Kushiyara","FCO2_raymond2012",0.996076494440661,0.255674880173521,-0.214861785990943,0.236881938694282
"60","Kushiyara","FCO2_raymond2013",0.955789918782775,0.162312769320048,-0.0198796380392926,0.181218129446646
"61","MariposaBypass","FCO2_BIKER",1,1.87985929678165,1.86203315880825,2.1153324233748
"62","MariposaBypass","FCO2_brinkerhoff2019",1,0.160318630883,0.0473983431959633,0.150650250970656
"63","MariposaBypass","FCO2_raymond2012",1,0.107581987357803,0.0407793997540163,0.0974468243004695
"64","MariposaBypass","FCO2_raymond2013",1,0.2843915922488,0.283430384320904,0.313679446602327
"65","MercedRiver","FCO2_BIKER",1,1.35727908336381,1.31345325599402,1.39241727999556
"66","MercedRiver","FCO2_brinkerhoff2019",1,0.181138474109241,-0.100924105720314,0.18942351290202
"67","MercedRiver","FCO2_raymond2012",1,0.158449324864437,-0.100305382589839,0.166086054139385
"68","MercedRiver","FCO2_raymond2013",1,0.126325618482701,0.111123566913175,0.121689255743432
"69","MiddleRiver","FCO2_BIKER",1,0.670654024597552,0.614973863178221,0.606873303530009
"70","MiddleRiver","FCO2_brinkerhoff2019",1,0.260324588947609,-0.252614465606864,0.276231877829326
"71","MiddleRiver","FCO2_raymond2012",1,0.212421891497145,-0.205228148897197,0.221893396025275
"72","MiddleRiver","FCO2_raymond2013",1,0.0800946740715578,-0.0678223348268761,0.0631208864563437
"73","MississippiDownstream","FCO2_BIKER",0.984725669131836,0.822692959409538,0.654999924440453,0.627533495324556
"74","MississippiDownstream","FCO2_brinkerhoff2019",0.995296739773558,0.1656312551205,0.150639546119303,0.183353433001393
"75","MississippiDownstream","FCO2_raymond2012",0.9982515646578,0.130474362355655,-0.10477445084785,0.100311447478206
"76","MississippiDownstream","FCO2_raymond2013",0.996483035409331,0.361523823084949,0.302520523694119,0.296100182200129
"77","MississippiIntermediate","FCO2_BIKER",0.96268087578536,0.403537263589119,-0.324282337030828,0.369655382083285
"78","MississippiIntermediate","FCO2_brinkerhoff2019",0.998952799570042,0.180996028159084,0.13878284441612,0.124155787398634
"79","MississippiIntermediate","FCO2_raymond2012",0.999770711307806,0.0931313831798574,-0.0787787430695086,0.0910525522612145
"80","MississippiIntermediate","FCO2_raymond2013",0.996400836172014,0.309724988697615,0.250801650346834,0.270146948624616
"81","MississippiUpstream","FCO2_BIKER",0.99163390501119,1.62470175041138,1.36347687535966,1.37504596562371
"82","MississippiUpstream","FCO2_brinkerhoff2019",0.999672573790794,0.0940738521694336,0.0806403044838991,0.0870501754185522
"83","MississippiUpstream","FCO2_raymond2012",0.998297887435425,0.152589589090084,-0.12400133344606,0.116290368409163
"84","MississippiUpstream","FCO2_raymond2013",0.987619939677866,0.228432272107157,0.193387374550145,0.252997176664182
"85","MissouriDownstream","FCO2_BIKER",0.998099000828958,0.071577778135347,-0.0593712142794528,0.101313303725044
"86","MissouriDownstream","FCO2_brinkerhoff2019",0.999177802853035,0.0647363275603832,0.0514979000508317,0.0527595610378521
"87","MissouriDownstream","FCO2_raymond2012",0.997522952680229,0.0700059086376665,-0.0580183952709595,0.0718449048782395
"88","MissouriDownstream","FCO2_raymond2013",0.987262345473698,0.31963893389826,0.252681719355703,0.251954430384047
"89","MissouriMidsection","FCO2_BIKER",0.985773885062621,0.275878113070987,-0.228804459309837,0.235777755929568
"90","MissouriMidsection","FCO2_brinkerhoff2019",0.999732126429688,0.044595719986284,0.0346443700001869,0.0344976499394685
"91","MissouriMidsection","FCO2_raymond2012",0.99847203835809,0.0878385525879964,-0.0769196805505519,0.0880002859632478
"92","MissouriMidsection","FCO2_raymond2013",0.988375661890305,0.296502535837147,0.231357174821814,0.231518765586689
"93","MissouriUpstream","FCO2_BIKER",0.979767662856178,0.301811381747699,-0.244206475306368,0.246968731529965
"94","MissouriUpstream","FCO2_brinkerhoff2019",0.997863469127227,0.0957976721708618,0.0781277594204327,0.115298379525218
"95","MissouriUpstream","FCO2_raymond2012",0.997453638221852,0.05160083842974,-0.0378335551230924,0.0692038453908619
"96","MissouriUpstream","FCO2_raymond2013",0.990455123926532,0.358799670602338,0.285932264821605,0.282915939412219
