"","sigma_ko2","mean_ko2","id"
"1",1.79889355027927,5.38345194858523,1
"2",0.750286773985727,3.85565594641525,2
"3",0.122292314386297,3.45553342629772,3
"4",2.77138868940537,29.4965250811444,4
"5",2.41938167633633,24.4303495642979,5
"6",0.553755757696047,1.733864156901,6
"7",1.938071502978,10.5553634429131,7
"8",0.272249652536866,2.53907352470247,8
"9",1.0957150825527,3.62533509994921,9
"10",2.59075869838276,52.738450802274,10
"11",0.255228867151755,29.1479502182775,11
"12",1.66842453863956,4.38724553406114,12
"13",1.93487321751181,5.33023790267773,13
"14",0.541205669807687,2.36007810262211,14
"15",1.47386001023968,9.28746534288431,15
"16",2.69553640777005,11.3707658216497,16
"17",0.346565742060507,1.75759336727169,17
"18",0.0655321778738418,2.94597276568988,18
"19",0.450913187747768,4.13617752355382,19
"20",0.414243880869787,2.96917933707989,20
"21",0.233676447095438,3.93832968285757,21
"22",0.045225166084824,2.4253700874956,22
"23",0.0847153011727128,3.63014416792706,23
"24",2.96914946405654,8.61423603218858,24
"25",0.837578510688589,5.28711146831647,25
"26",0.282201408779924,3.37842419129921,26
"27",0.110654293175809,1.95462229008697,27
"28",0.142990200714049,0.468687313833967,28
"29",0.445155632246397,1.32460641395496,29
"30",0.294447035161334,5.2518990526626,30
"31",0.913988985156443,3.58048134578341,31
"32",0.108165465778532,3.95406240139295,32
"33",1.87369564343315,10.8976970153543,33
"34",0.64049126391451,1.77187163152302,34
"35",0.130455267142137,3.26379604195249,35
"36",0.103683940479613,2.54616133138283,36
"37",0.0735699464575366,2.82356476271707,37
"38",0.460334482285714,2.49512590230719,38
"39",0.492759685678914,1.88701951668089,39
"40",0.702855396621765,14.5076810811337,40
"41",0.0305580606910455,1.82518811079581,41
"42",0.728183630471404,2.02259796797937,42
"43",0.0702885663030769,3.10363186390783,43
"44",0.530897286710812,9.61742218823599,44
"45",1.0495285959463,4.19209188853017,45
"46",0.0529490849798353,1.45592396724437,46
"47",0.105982884390296,4.43345861901052,47
"48",0.0871714064190752,2.44296034139405,48
"49",0.056326692140182,1.37548629712942,49
"50",0.938219369498354,3.48198539559546,50
"51",0.644797486840732,3.98159870421624,51
"52",0.0686717739051749,2.30002502087988,52
"53",0.527200672338419,2.16324145218894,53
"54",1.17270783768615,3.23241144241684,54
"55",0.831739882694438,3.25785716141452,55
"56",2.05205402443549,18.011702774961,56
"57",0.610562339430726,3.24765989536847,57
"58",0.724418585086221,2.0215747683579,58
"59",0.750666251296889,14.5471001350695,59
"60",0.949871557702413,6.14409375290586,60
"61",0.836369625865128,3.82924647778594,61
"62",0.385257491907178,0.946177759643234,62
"63",1.59906723184897,8.50723440829644,63
"64",0.0499880925458859,1.56837611782368,64
"65",0.496434606324511,6.25405957431118,65
"66",0.887168786655867,3.9325669984408,66
"67",0.837073850912479,4.05579487883498,67
"68",0.265188455989179,5.1450656872537,68
"69",0.101858079965034,4.20140132152719,69
"70",4.45797923767515,17.4135952945252,70
"71",0.619322587788642,3.36308939606339,71
"72",0.554994417034453,6.1231238853538,72
"73",1.06827749708913,3.1737406327405,73
"74",0.883646638015135,3.23948965353616,74
"75",0.341647487425506,3.19562363844237,75
"76",0.0999953514753103,4.38990509413753,76
"77",1.9374321551346,6.29977918207813,77
"78",0.337207709159826,8.70098907509971,78
"79",0.566480087880607,3.11347720522334,79
"80",0.110032624009165,3.88070758511271,80
"81",0.0441507347433619,1.80876225982395,81
"82",0.130708150949139,4.80417797405486,82
"83",0.6667844772895,8.39348859164383,83
"84",0.298661322434432,1.62955451207325,84
"85",0.792883969650095,5.58996719335448,85
"86",0.301941570753838,1.37727138043769,86
"87",0.147276133454061,0.797135009253947,87
"88",1.00486607313188,2.95010836043953,88
"89",0.602345552509464,2.09180921048621,89
"90",0.0606189581536025,2.66717242188885,90
"91",0.328953906972965,7.63646508825149,91
"92",0.134812605189351,1.62268725905237,92
"93",1.36468598141057,8.85408861907965,93
"94",1.06638743428506,3.22073946005067,94
"95",1.58717735127753,4.08234208344214,95
"96",0.725758896065119,4.20919740634024,96
"97",0.291820200507975,3.84823313342866,97
"98",2.37024564009686,24.8833485033967,98
"99",0.771034235600287,12.4581697332676,99
"100",0.41157755888265,2.15901253697761,100
"101",0.43488684412694,1.38596681095073,101
"102",3.37891501571057,18.2370621079552,102
"103",0.13649857333198,2.97305049414811,103
"104",2.01058233660535,12.2121365609023,104
"105",0.681163686719955,15.0452857782436,105
"106",1.27821421510699,5.21112963252914,106
"107",0.702446455478893,1.69985231829174,107
"108",0.874179930474449,3.76715380913653,108
"109",0.060946301900271,2.58401263921027,109
"110",0.650901181188542,11.8867543663939,110
"111",1.06775877266661,31.548077053003,111
"112",0.703842652011025,6.31781825396589,112
"113",0.0759236991971913,2.09457812144428,113
"114",0.26242919554136,0.869885730263508,114
"115",0.0812882781038826,5.91752281183869,115
"116",0.92456306516755,3.10149318037924,116
"117",0.331643668646163,5.81885216371184,117
"118",1.35822684508225,4.43204522935093,118
"119",0.901143143047801,4.9485417810477,119
"120",0.467148607283126,1.85768865421001,120
"121",1.35591423400707,4.60311636843611,121
"122",0.909955239171181,2.8614232680662,122
"123",0.648498422983737,2.81304787727174,123
"124",1.23188318705897,13.7157026306821,124
"125",0.346208381363518,5.28330804592655,125
"126",0.893933407580917,9.16212449180035,126
"127",0.563463465638891,3.77822847269805,127
"128",0.0943750577259111,2.80004263717332,128
"129",0.198338505825173,0.70205390677996,129
"130",0.0826559070849942,0.207524082255443,130
"131",0.186465736323804,2.95881671164487,131
