"","river","timestep","sa","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_Lauerwald2015"
"1","StLawrenceDownstream",1,254518618.900626,NA,0.169618907536212,0.151018858527725,0.190891528469381,0.36183701865667,0.498186592618555,0.62604828905452
"2","StLawrenceDownstream",2,254518618.900626,NA,0.51175936497745,0.37570624009747,0.684826775829671,0.398970806089007,0.552171097745354,0.689371641388724
"3","StLawrenceDownstream",3,254518618.900626,NA,0.868085948165743,0.619364007086925,1.16047789513864,0.827706136615886,1.12715413195674,1.43616575137161
"4","StLawrenceDownstream",4,254518618.900626,NA,0.688303701086998,0.497068055407004,0.916216439066276,0.448425311503097,0.625698204484002,0.773190899474514
"5","StLawrenceDownstream",5,254518618.900626,NA,1.1872632230485,0.855179089592042,1.59017052822463,0.695922336683606,0.971450721911311,1.19980181363914
"6","StLawrenceDownstream",6,254518618.900626,NA,1.21510737313913,0.865840107238479,1.63514972364073,0.847925212734877,1.20066236120578,1.45647387989097
"7","StLawrenceDownstream",7,254518618.900626,NA,1.42552090594326,1.03856444743632,1.9431529781593,0.862315476870994,1.2265558898339,1.47946682372972
"8","StLawrenceDownstream",8,254518618.900626,NA,1.92050888727581,1.37084212065267,2.60723038158775,0.846033876223665,1.20851032912706,1.44994250467504
"9","StLawrenceDownstream",9,254518618.900626,NA,2.71471989090173,1.97438662460905,3.63754106023668,1.51754760011121,2.15497152286785,2.60476170421283
"10","StLawrenceDownstream",10,254518618.900626,NA,1.81833189602459,1.31100045214899,2.48583515046283,1.01517665292801,1.4435820144119,1.74185513355864
"11","StLawrenceDownstream",11,254518618.900626,NA,2.95904313258069,2.15497002591578,3.98974439259483,1.09098942935716,1.54490498827683,1.87396325421827
"12","StLawrenceDownstream",12,254518618.900626,NA,3.46198921174617,2.49422117614387,4.57337966040924,1.4913684112114,2.12995927887308,2.55604020015063
"13","StLawrenceDownstream",13,254518618.900626,NA,2.45114802930158,1.7484205187428,3.25365223595388,1.3365020490688,1.91567678250299,2.28848193670215
