"","river","timestep","sa","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_lauerwald2015","FCO2_horgby2019"
"1","Tanana",1,50767967.7204289,0.0961170390557814,0.0500960489242646,0.0702336245376543,0.0368457427663247,0.0814619663616699,0.0597735307243677,0.0513141420887867,0.122991793822384
"2","Tanana",2,50767967.7204289,NA,0.0577413008521303,0.0805852345697787,0.043131576554472,0.0984324956598919,0.076801785374632,0.0610274604896849,0.15086642916459
"3","Tanana",3,50767967.7204289,NA,0.0786178819832473,0.1116628831476,0.0572739599967327,0.138513918427709,0.101345558595399,0.0873167648359975,0.208982533692038
"4","Tanana",4,50767967.7204289,NA,0.0607439791694199,0.0845191183528893,0.044676719428288,0.105420750084538,0.0793488115929142,0.0659705307567434,0.160160555652802
"5","Tanana",5,50767967.7204289,NA,0.10997295339622,0.153641940364689,0.0814205511464185,0.192323065505121,0.142964798019812,0.12074123914974,0.291295795871897
"6","Tanana",6,50767967.7204289,NA,0.0923938833238357,0.130678653132749,0.0680939140672257,0.161017270125644,0.120634315721627,0.100882957139093,0.244347539935716
"7","Tanana",7,50767967.7204289,NA,0.108961076672804,0.149726940776115,0.0815904770468788,0.186992053399336,0.144119112294354,0.116302555127828,0.285739688028316
"8","Tanana",8,50767967.7204289,NA,0.163014416586524,0.226002290291322,0.120011248041845,0.282323946005376,0.213379756246489,0.176485480702724,0.429353971873319
"9","Tanana",9,50767967.7204289,NA,0.24572428709953,0.343938594547955,0.179330034195053,0.423334395269343,0.323646319727376,0.263849882663662,0.645611739506972
"10","Tanana",10,50767967.7204289,NA,0.225176786106287,0.317907720015463,0.16364015613501,0.400222036295846,0.288610439853317,0.253240869692,0.6016926122991
