"","river","timestep","sa","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019"
"1","OhioSection8",1,79997882.7440476,0.913085692347974,0.161118499717542,0.154927467667823,0.167422254387482,0.965412868731156,0.937572792761784,1.15721833468711
"2","OhioSection8",2,79997882.7440476,0.84541106147869,0.7838363615705,0.634756244279702,0.958365976871878,0.961598271302018,1.1560861742217,1.11845096587801
"3","OhioSection8",3,79997882.7440476,1.58596495930497,1.49767571073919,1.21513369218205,1.82956693889578,1.64861958483375,1.65454427277954,1.96704125361934
"4","OhioSection8",4,79997882.7440476,1.22105427031476,1.13063068965626,0.914166755230274,1.38568616025192,1.35802963313883,1.26905608115886,1.63671368228745
"5","OhioSection8",5,79997882.7440476,1.52494521962717,1.41030651897441,1.12950233703556,1.73994104677774,1.70184737361157,2.01249045067564,1.98406673861922
"6","OhioSection8",6,79997882.7440476,1.26130381823112,1.15838225918098,0.928435086806866,1.42645388262329,1.45037860194346,1.77576447547456,1.68262092730211
"7","OhioSection8",7,79997882.7440476,2.17636107324946,2.03746708118591,1.65428595275649,2.48085866437504,2.27381374904496,2.27489869693881,2.7141810555049
"8","OhioSection8",8,79997882.7440476,2.756752693426,2.58418152640284,2.09796661210228,3.15945227331991,2.90729948678138,3.11445621675036,3.43703557156167
"9","OhioSection8",9,79997882.7440476,2.95313134791607,2.73886659607229,2.20216659776131,3.36602233547131,3.16586144821444,3.71557340463248,3.6947659383136
"10","OhioSection8",10,79997882.7440476,2.51668255698948,2.310646800171,1.85725250084324,2.82667461883844,2.92195328098072,3.80934426515949,3.36004756376758
"11","OhioSection8",11,79997882.7440476,2.26446836681777,1.95357040693926,1.56913968255967,2.39759310272805,2.69766774895493,4.05565901591491,3.04066194091981
"12","OhioSection8",12,79997882.7440476,3.42043473575329,3.15116308198553,2.56999497399073,3.83871312905807,3.88081032828976,4.80545530483412,4.4950886449473
"13","OhioSection8",13,79997882.7440476,2.63896993749489,2.4664594850673,2.01059944349752,3.00355501331636,2.77615253965236,3.10828607553471,3.26159072663944
"14","OhioSection8",14,79997882.7440476,2.87749125040458,2.51449791173097,2.03941955477803,3.06621523553405,3.43502659858534,5.06182218463212,3.8826068339832
"15","OhioSection8",15,79997882.7440476,4.62135127094194,4.05856286415252,3.26263927661749,4.97383091833579,5.86881217016896,8.81197169451157,6.61561020534649
"16","OhioSection8",16,79997882.7440476,2.97874322810733,2.17214470120761,1.75681431051964,2.67296106218474,3.76738019016488,6.94449341555341,4.1262862312111
"17","OhioSection8",17,79997882.7440476,2.38386577225884,1.62405379337711,1.30773831523459,1.9853856950595,3.05542942086756,5.87565717303254,3.32577239171064
"18","OhioSection8",18,79997882.7440476,1.96585250709968,1.42714893943415,1.16060529629181,1.73858147223606,2.51065236560277,4.51089916605962,2.75875364278286
"19","OhioSection8",19,79997882.7440476,1.62278957982871,1.15041281260358,0.921184952346668,1.41669035679771,2.09016603357594,3.8101766367651,2.29270966377616
"20","OhioSection8",20,79997882.7440476,2.39933610256468,2.0667884192036,1.66584003065064,2.54290429512074,3.05529689578386,4.48238658097416,3.45492785344309
