"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","Kanawha",1,4382614.71525281,93.5325615780728,82.4006821656961,78.6017538969215,86.3268982362212,79.6755772923009,95.3464054855306,98.2464204171106,68.5627932252574,125.764630682485
"2","Kanawha",2,4382614.71525281,188.336731340445,192.680902700502,125.084651906118,283.29583424393,158.900356580358,191.891018500744,197.814147195173,145.427466124831,246.587276896121
"3","Kanawha",3,4382614.71525281,250.65673768441,250.258202711309,164.588002381434,368.105632616411,211.173526886042,254.90717436718,262.782185092245,192.806580090553,327.921536150265
"4","Kanawha",4,4382614.71525281,87.3749197073184,87.6069854313665,55.9497645877412,130.66393572782,74.8921454837773,88.847242897757,91.4850739582025,59.905123915819,120.577050296077
"5","Kanawha",5,4382614.71525281,469.274170023634,479.945305859984,314.978431807304,690.538581448416,390.959234040903,475.010846775422,489.796108921986,370.760739425136,600.838089489943
"6","Kanawha",6,4382614.71525281,322.657555487486,330.053324285071,214.865080569033,489.048366914362,271.037982012483,327.745719202417,337.899169530881,250.153673253153,419.632958898199
"7","Kanawha",7,4382614.71525281,403.723753386133,413.420276926511,269.050477120306,612.397152831055,338.1160230198,409.11542693767,421.816765811208,313.308489882858,522.913956001519
"8","Kanawha",8,4382614.71525281,247.601091718492,241.442570475578,155.817417396688,358.107839756859,212.142786405017,252.181724997267,259.699003585904,172.75921932946,339.922351530374
"9","Kanawha",9,4382614.71525281,278.790943010006,268.245206402156,171.688569092917,401.420501599054,239.813474391723,282.845083696045,291.012065350957,180.3921992821,392.291986681054
"10","Kanawha",10,4382614.71525281,1034.06794174568,1068.99130475232,709.274402970173,1555.32084158047,854.382264551941,1040.11595190703,1072.66475543312,819.326318536987,1309.11669642669
"11","Kanawha",11,4382614.71525281,588.595490851399,580.720955487299,373.485736127154,864.703489564696,502.730850667784,600.571049534384,618.705530035928,426.608133568455,796.591697489006
"12","Kanawha",12,4382614.71525281,336.307860961009,332.639473666622,214.347609237013,497.911374657999,288.901936050544,341.793625694805,351.781864373651,224.588994582202,468.629746754719
