"","river","timestep","sa","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019"
"1","Brahmaputra",1,604937268.589762,0.201651418409788,0.801433041885449,0.75749485627401,0.846528314633053,0.567697936019492,0.693107493067115,0.626961373978588
"2","Brahmaputra",2,604937268.589762,0.262727825046826,0.282849382278532,0.214910753844069,0.367420587324894,0.599871907181994,0.72227722858361,0.645853949527014
"3","Brahmaputra",3,604937268.589762,0.397797110316662,0.409431803630955,0.309424025357495,0.532070490239006,0.858637696656894,1.03633298079487,0.927481800804616
"4","Brahmaputra",4,604937268.589762,0.405929531961973,0.424169460649846,0.321613136243439,0.545265160272871,1.0819784829426,1.36529591502979,1.25514985182355
"5","Brahmaputra",5,604937268.589762,0.392332926240753,0.410362191062984,0.312741384785004,0.528110156503806,0.980834002758816,1.18767236523118,1.0701861542447
"6","Brahmaputra",6,604937268.589762,0.534482681968575,0.416558777609105,0.309945719193157,0.549347322030215,0.685808979473466,0.810062254498514,0.70306318132067
"7","Brahmaputra",7,604937268.589762,0.561240009490948,0.390183731008285,0.279927529228998,0.538221500270019,0.735033227742368,0.863286295118977,0.741765999118779
"8","Brahmaputra",8,604937268.589762,0.766735345927147,0.469328339443416,0.308150534458094,0.691797968713377,1.00744307151437,1.17954498777631,1.00650090315026
"9","Brahmaputra",9,604937268.589762,1.12010981830931,0.639358450254672,0.395610134048361,0.984213997262676,1.4720032586094,1.72102547032001,1.46353782189348
"10","Brahmaputra",10,604937268.589762,0.987356571919032,0.524829141660305,0.298001637671595,0.850879045459518,1.28455789463427,1.50035927042802,1.2722615192878
