Site,lat,long,Date,DOC,NH4+-N,DRP,TP,Chl a,NO3-N,TN,TSS,SS OM content,VSS,Temperature,Specific conductivity,Discharge,DO,DO,Wind,N2O,N2O (SE),N2O,N2O (SE),N2O emission rate,N2O emission rate (SE),CH4,CH4 (SE),CH4,CH4 (SE),CH4 emission rate,CH4 emission rate (SE),CO2,CO2 (SE),CO2,CO2 (SE),CO2 emission rate,CO2 emission rate (SE),,,,,,
,,,,mg L-1,μg N L-1,μg P L-1,μg P L-1,μg L-1,mg N L-1,mg N L-1,mg L-1,(%),mg L-1,oC,μS cm-1,m3 s-1,mg L-1,% sat,m s-1,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μg N2O-N m-2 h-1,μg N2O-N m-2 h-1,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μmol CH4 min-1 m-2,μmol CH4 min-1 m-2,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μmol CO2 min-1 m-2,μmol CO2 min-1 m-2,,,,,,
TMC,38.955407,-84.290974,12/12/08,2.88,80,40.0,,2.33,1.07,,14.7,11.5,,5.5,648,2050,11.8,94.2,,0.0209,0.0007,1.12,0.04,17.66,3.68,0.15,0.01,37,3.23,0.47,0.04,43.04,1.20,1.56,0.04,38.08,3.69,,,,,,
TMC,38.955407,-84.290974,12/18/08,3.42,91,,,3.48,,,94.3,9.5,,4.0,449,3336,12.2,94.0,,0.0227,0.0005,1.16,0.03,14.00,2.01,0.15,0.02,34,4.04,0.31,0.14,54.87,0.69,1.79,0.02,25.08,4.09,,,,,,
TMC,38.955407,-84.290974,1/9/09,3.22,11,5.5,7.1,1.15,0.82,0.88,253.0,9.2,,4.0,305,6619,12.5,95.5,,0.0168,0.0007,0.99,0.04,8.15,2.05,0.25,0.01,58,2.30,0.51,0.07,44.33,1.58,1.62,0.06,30.68,2.60,,,,,,
TMC,38.955407,-84.290974,1/23/09,2.30,102,23.0,25.1,0.80,0.92,1.26,11.3,18.5,,1.6,348,1424,13.3,95.4,,0.0185,0.0001,0.95,0.01,6.94,1.28,0.18,0.01,37,1.36,0.34,0.01,42.87,0.54,1.42,0.02,23.10,1.16,,,,,,
TMC,38.955407,-84.290974,2/6/09,2.50,56,6.1,50.1,1.25,1.27,1.37,30.8,14.6,,1.6,307,2137,12.0,85.7,,0.0195,0.0007,1.02,0.04,7.30,0.52,0.20,0.01,42,2.87,0.33,0.04,46.90,1.87,1.59,0.06,31.01,4.69,,,,,,
TMC,38.955407,-84.290974,2/23/09,2.40,64,10.2,89.6,1.43,0.90,1.66,74.2,16.5,,3.1,328,3483,13.5,100.5,,0.0199,0.0005,1.08,0.03,12.20,2.67,0.10,0.00,21,0.79,0.28,0.01,50.37,3.62,1.60,0.11,30.90,2.18,,,,,,
TMC,38.955407,-84.290974,3/6/09,1.72,68,14.5,43.9,2.18,1.31,0.87,16.3,17.8,,4.4,366,2253,14.1,108.7,,0.0198,0.0003,1.17,0.02,14.41,1.66,0.15,0.01,37,2.37,0.54,0.01,43.37,3.49,1.67,0.13,44.15,1.86,,,,,,
TMC,38.955407,-84.290974,3/20/09,2.20,54,10.9,73.1,4.31,0.83,1.24,56.5,15.1,,8.7,315,3255,11.3,97.1,,0.0177,0.0005,1.09,0.03,9.71,0.33,0.15,0.00,38,1.04,0.29,0.03,50.56,1.02,2.06,0.04,43.05,0.80,,,,,,
TMC,38.955407,-84.290974,4/4/09,3.52,144,13.9,87.9,5.54,0.55,0.82,78.8,14.7,,11.3,286,2709,11.2,102.0,,0.0131,0.0004,1.01,0.03,4.10,0.68,0.18,0.01,51,4.14,0.28,0.03,42.64,1.95,1.81,0.08,23.92,2.38,,,,,,
TMC,38.955407,-84.290974,4/22/09,2.26,30,10.6,72.5,4.13,0.47,1.11,43.3,13.3,,12.1,327,3114,10.1,93.9,,0.0131,0.0005,1.04,0.03,9.19,0.61,0.18,0.01,52,2.60,0.56,0.05,45.95,2.19,2.24,0.11,52.29,4.37,,,,,,
