"","x"
"1",2.43039660784514
"2",1.71668275023732
"3",3.88439788856287
"4",3.12839822032016
"5",2.99887122777342
"6",2.70646831997406
"7",1.61230550231071
"8",1.62885989592262
"9",2.95739706734727
"10",2.40924544018934
"11",3.00602050637482
"12",2.00806827312542
"13",2.09958440204021
"14",2.19995618050121
"15",2.96037231828074
"16",3.28344526898838
"17",3.72873119656404
"18",3.54637169237412
"19",2.71156632660542
"20",2.45829668263056
"21",2.4422909443638
"22",2.22740645136584
"23",1.83423529834869
"24",2.94147416718958
"25",2.63593631459319
"26",1.28870774408456
"27",2.33462350407869
"28",3.22901514342727
"29",2.78254121682642
"30",3.68967177945154
"31",2.9359072559864
"32",1.98988418849665
"33",2.12408748112278
"34",3.34065025431562
"35",3.35496556045164
"36",3.51521200715539
"37",1.92695074342896
"38",1.31219532703063
"39",1.78185331829427
"40",2.13199612079288
"41",2.91063813841148
"42",2.96823451870125
"43",3.61045814594316
"44",2.15126868404583
"45",2.0743430929597
"46",2.57373805264515
"47",2.50191672638465
"48",1.59230963287268
"49",2.045241764901
"50",3.62413676961972
"51",2.90437786224968
"52",3.09166498605478
"53",2.07687186495724
"54",3.63772370844053
"55",3.14222899594075
"56",2.51814629923814
"57",1.82017166515956
"58",2.21062440443476
"59",2.76749546642865
"60",2.89507964196447
"61",1.64690794076888
"62",2.01370786870391
"63",2.44389027140275
"64",2.34432321713177
"65",3.67457392574253
"66",2.96182176587125
"67",1.53061284491733
"68",3.18556555237654
"69",2.84954013004547
"70",3.36317881789759
"71",2.23792593553041
"72",2.63235219466642
"73",2.61454928826435
"74",2.53198469193286
"75",2.13908291238746
"76",3.72357966948099
"77",2.05979352522261
"78",3.06372241389469
"79",3.36315490396096
"80",2.68180378112829
"81",1.51154766840795
"82",2.54570492681759
"83",3.54076015163359
"84",3.61911363301934
"85",2.16038588711222
"86",2.43562831997443
"87",3.02002152918582
"88",2.20076036146604
"89",1.77963302408038
"90",1.16548429395805
"91",4.06840274803794
"92",3.05958919201049
"93",2.88353666849215
"94",2.2900795339622
"95",3.40246751123788
"96",2.65251166545818
"97",2.84100624611114
"98",3.38121437161544
"99",2.73980692219899
"100",2.0902798256314
"101",2.69432745587516
"102",2.68654677390043
"103",2.27194894430532
"104",2.16970144438968
"105",1.0039229332055
"106",2.33865001581834
"107",2.65304200322396
"108",2.05549857597769
"109",2.48001285731539
"110",2.64003456055872
"111",1.73600512306222
"112",3.24750394190572
"113",2.16770334169775
"114",2.44316503157175
"115",2.86042385789535
