"","river","timestep","sa","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2012_low","FCO2_raymond2012_high","FCO2_raymond2013","FCO2_raymond2013_low","FCO2_raymond2013_high","FCO2_Lauerwald2015","FCO2_Lauerwald2015_low","FCO2_Lauerwald2015_high"
"1","Kushiyara",1,77555084.027191,0.499810758797033,0.543413957164581,0.700293319047177,0.43512567336228,0.370241831608195,0.355030439890733,0.386104974452133,0.357806526992373,0.391533676681275,0.41237532620368,0.401819389387029,0.391533676681275,0.41237532620368
"2","Kushiyara",2,77555084.027191,0.978792078691882,0.673170007069774,0.950171356618739,0.495680180279588,0.699469405763734,0.671703539817898,0.728383024127102,0.660490799802408,0.73090962962247,0.767590176946736,0.749025396767235,0.73090962962247,0.767590176946736
"3","Kushiyara",3,77555084.027191,1.59692862092547,0.937342748104455,1.32124215199737,0.692583942753611,1.12683109857011,1.08263802758147,1.17282812480884,1.05569006409017,1.17266836542604,1.23029644733037,1.20113684500881,1.17266836542604,1.23029644733037
"4","Kushiyara",4,77555084.027191,1.25081152456922,0.744564207390209,1.0459481900777,0.548073451386651,0.867612571017935,0.834103487038918,0.902467848429772,0.804859286798492,0.898291858219915,0.941266875094537,0.919528337595473,0.898291858219915,0.941266875094537
"5","Kushiyara",5,77555084.027191,1.43118953270914,1.39743405096619,1.99689792112627,1.02853924638889,0.983658363809313,0.946164834351883,1.02263764779188,0.904920801359146,1.01403099201621,1.0614259039474,1.03745783430122,1.01403099201621,1.0614259039474
"6","Kushiyara",6,77555084.027191,NA,1.20543715106105,1.72823947377601,0.892010146355267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Kushiyara",7,77555084.027191,0.671306774016733,1.52857133658864,2.23359617252104,1.13268224967478,0.571446327322687,0.549927950686496,0.593806706138398,0.52090883768878,0.586769442560168,0.613606907505865,0.600038151343966,0.586769442560168,0.613606907505865
"8","Kushiyara",8,77555084.027191,1.6371352907197,2.14766107546953,3.06544657292041,1.58555166094726,1.11076705018653,1.06893128784982,1.15424019695677,1.01401835212429,1.14062942991088,1.19281902830108,1.16643236651338,1.14062942991088,1.19281902830108
"9","Kushiyara",9,77555084.027191,3.41810152799869,3.27526968903729,4.70316444643875,2.37327336347849,2.30669864051076,2.21963639653303,2.39717582468961,2.10863365312364,2.37032570708496,2.47918915128234,2.42414638118917,2.37032570708496,2.47918915128234
"10","Kushiyara",10,77555084.027191,2.50766560805927,2.41451928921036,3.40265218136456,1.7838287639147,1.86038204073988,1.78417151734317,1.93984802665432,1.79433104246218,1.96534091113929,2.0694409974734,2.0167193040903,1.96534091113929,2.0694409974734
"11","Kushiyara",11,77555084.027191,1.7893700726491,1.97901517206829,2.72377914754977,1.47259835654142,1.40553222497578,1.32971540494933,1.48567196399525,1.68554392549158,1.66147261238104,1.79779890886191,1.72829209231221,1.66147261238104,1.79779890886191
