"","river","timestep","sa","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2012_low","FCO2_raymond2012_high","FCO2_raymond2013","FCO2_raymond2013_low","FCO2_raymond2013_high","FCO2_Lauerwald2015","FCO2_Lauerwald2015_low","FCO2_Lauerwald2015_high"
"1","OhioSection2",1,221489667.369645,0.277300013979226,0.396285946547035,0.532846191880422,0.304130529221915,0.232097103011372,0.219348761253323,0.245586390254496,0.265834611173675,0.276729939301056,0.300060955412506,0.288159403607416,0.276729939301056,0.300060955412506
"2","OhioSection2",2,221489667.369645,0.701469911436519,0.612104805192461,0.86775924519471,0.450658386498767,0.548033716793421,0.51919110974658,0.578478717551977,0.603996273776512,0.64046343549274,0.691097515189653,0.665298888833946,0.64046343549274,0.691097515189653
"3","OhioSection2",3,221489667.369645,0.499471540482647,0.568055859226355,0.805690351971772,0.419464827818361,0.42483728779557,0.401323976850242,0.449728292002252,0.49103313751695,0.508395984871853,0.551749311676525,0.529629205107359,0.508395984871853,0.551749311676525
"4","OhioSection2",4,221489667.369645,0.404475968659436,0.434263740430154,0.621857231341165,0.317317561227556,0.343794587192923,0.324715786220892,0.363994381936435,0.397566977567477,0.411944473401503,0.447212216901044,0.429216257124044,0.411944473401503,0.447212216901044
"5","OhioSection2",5,221489667.369645,1.49163776776618,1.54458491049841,2.2456287389861,1.13190398438095,1.08634031694961,1.03146736846793,1.14413275828355,1.15549305291334,1.24639077325152,1.33893898383295,1.29183618970943,1.24639077325152,1.33893898383295
"6","OhioSection2",6,221489667.369645,0.477148007623942,0.78137207909439,1.08888874726163,0.56828361033054,0.389183569666209,0.368159580519684,0.411408233045996,0.438977782590798,0.460372307662043,0.498231507413123,0.478927907847831,0.460372307662043,0.498231507413123
"7","OhioSection2",7,221489667.369645,0.682743058574491,0.779148565899625,1.09421842003546,0.569401839589979,0.583183724490735,0.550762282796332,0.617513772217694,0.675918082962259,0.699394797010795,0.75943254888692,0.728795659589851,0.699394797010795,0.75943254888692
"8","OhioSection2",8,221489667.369645,0.882783902982853,1.43252244244455,2.06324838805874,1.04942447072423,0.719916632773263,0.681331119122889,0.760687511465605,0.807717125786462,0.848463332792774,0.917416140947459,0.88226627661824,0.848463332792774,0.917416140947459
"9","OhioSection2",9,221489667.369645,1.62637193616849,2.38922599277231,3.36618272014908,1.75551092637572,1.27446510322175,1.20708255990181,1.34560915240445,1.40931637998688,1.49254661736259,1.61136346041163,1.55081753327153,1.49254661736259,1.61136346041163
"10","OhioSection2",10,221489667.369645,2.35287780290783,3.34811002976913,4.84134632725537,2.45308075430149,1.67751516010337,1.5938876180589,1.76553135723876,1.76490036713009,1.91368289767058,2.05293559417036,1.9820861988241,1.91368289767058,2.05293559417036
"11","OhioSection2",11,221489667.369645,3.02648159191932,6.25596539491567,8.95224206832266,4.52713609396237,1.94629271421296,1.85353277927021,2.04369502882201,1.97147690259419,2.17844547446645,2.32619866258143,2.25111004119585,2.17844547446645,2.32619866258143
"12","OhioSection2",12,221489667.369645,1.78238041167484,2.850365926856,4.12959150594078,2.10342098193551,1.39655587012821,1.32309702149484,1.47409390615679,1.53882483185462,1.63169876981565,1.76060057053498,1.69492429766667,1.63169876981565,1.76060057053498
"13","OhioSection2",13,221489667.369645,0.792049109612573,1.57433388655292,2.26870744734502,1.15212098032207,0.660167195160592,0.624268209632658,0.698130673355619,0.750555662422076,0.783363501056419,0.848424861357917,0.815245348504487,0.783363501056419,0.848424861357917
"14","OhioSection2",14,221489667.369645,3.90457678596456,6.834305811696,9.9172536642693,4.9245449160877,2.57941442565406,2.45468618413381,2.71048134325626,2.64305331932321,2.90456711002345,3.10611917892955,3.00365251879751,2.90456711002345,3.10611917892955
"15","OhioSection2",15,221489667.369645,4.18935173629357,6.31155838541349,8.89801008729108,4.67125330743865,2.96797769908646,2.82038461043478,3.12329515751763,3.11542601404598,3.38215446308204,3.62729917787449,3.50258238342467,3.38215446308204,3.62729917787449
"16","OhioSection2",16,221489667.369645,3.54857459599294,7.97687842990558,11.3121616628521,5.81157012685376,2.23346863238878,2.12819674755434,2.34394787206465,2.24236207141145,2.48850431682899,2.65435001109225,2.57008974954992,2.48850431682899,2.65435001109225
"17","OhioSection2",17,221489667.369645,6.34679629992607,9.59021660119705,13.7654598161823,6.99318596645966,3.5952757060336,3.43619338568218,3.76172358163984,3.44297331265349,3.9071120283402,4.14238075714756,4.02302657397803,3.9071120283402,4.14238075714756
"18","OhioSection2",18,221489667.369645,3.42171392782042,6.71475971369203,9.66994011910809,4.90388174691892,2.01116815678591,1.92130151344471,2.10523828413029,1.94230699004318,2.19384288104545,2.32806442000808,2.25995738214027,2.19384288104545,2.32806442000808
"19","OhioSection2",19,221489667.369645,3.00223535249749,5.0595087099363,7.15610806804214,3.65753302740221,1.77604375225912,1.69544543692015,1.86047549268281,1.73260590030073,1.94913901911809,2.07145135491802,2.00936369819041,1.94913901911809,2.07145135491802
"20","OhioSection2",20,221489667.369645,1.6585719782626,2.27837561088875,3.24219782613029,1.66505375907266,1.20667594959314,1.14552691186345,1.27108924647407,1.28660825567261,1.38641732494687,1.48987104081354,1.43721358628282,1.38641732494687,1.48987104081354
