"","river","timestep","sa","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2012_low","FCO2_raymond2012_high","FCO2_raymond2013","FCO2_raymond2013_low","FCO2_raymond2013_high","FCO2_Lauerwald2015","FCO2_Lauerwald2015_low","FCO2_Lauerwald2015_high"
"1","MississippiDownstream",1,241751805.940713,0.180408198116584,0.130242145169929,0.16328648184693,0.104267654435478,0.144414450787038,0.135323233925314,0.154116429169535,0.166030246822558,0.184737449713114,0.20375813688434,0.194014841097504,0.184737449713114,0.20375813688434
"2","MississippiDownstream",2,241751805.940713,0.358999381947227,0.135911557889752,0.172395684343104,0.107685102081351,0.288501384715782,0.271292134675121,0.306802294056918,0.313554545164333,0.358499217374327,0.392638685452728,0.375180837659503,0.358499217374327,0.392638685452728
"3","MississippiDownstream",3,241751805.940713,0.392489855953311,0.182556135246917,0.230414244694917,0.14413776897341,0.31267235749921,0.293274473322421,0.333353265150625,0.353937211537862,0.396773947558573,0.436774278649283,0.416293952049846,0.396773947558573,0.436774278649283
"4","MississippiDownstream",4,241751805.940713,0.262596301331421,0.148979463828756,0.18899125266509,0.118041719311698,0.208963631904244,0.195686841341899,0.223141214627549,0.242645837378864,0.268688671841801,0.296722837843453,0.282358044326831,0.268688671841801,0.296722837843453
"5","MississippiDownstream",5,241751805.940713,0.613247414821668,0.254527001882163,0.32363774705751,0.197638315828076,0.489968448005679,0.460397000824492,0.521439290684866,0.538929443994171,0.612617953759098,0.671961851195847,0.641604149652105,0.612617953759098,0.671961851195847
"6","MississippiDownstream",6,241751805.940713,0.308227022908184,0.214380205298852,0.276214574272653,0.170647887110033,0.247606748360907,0.232866184394414,0.263280399639553,0.268568724701395,0.307363213460945,0.336548353215254,0.321624910256149,0.307363213460945,0.336548353215254
"7","MississippiDownstream",7,241751805.940713,0.476583817246499,0.258711728853491,0.330856726105638,0.204650990917719,0.384037255615344,0.360149474145263,0.409509455547139,0.435906094942833,0.488032610646484,0.537419614995465,0.512131130939638,0.488032610646484,0.537419614995465
"8","MississippiDownstream",8,241751805.940713,0.588287792475154,0.381288078664187,0.486295142824804,0.296938860315145,0.468404459168789,0.439538864163778,0.49916572879896,0.526499435964816,0.592235901656099,0.651366861913963,0.621098092578549,0.592235901656099,0.651366861913963
"9","MississippiDownstream",9,241751805.940713,0.790771588716843,0.582831739453483,0.75248996008916,0.459384170978185,0.635964058957735,0.596718807280108,0.677790410060592,0.715834581844148,0.804690693960766,0.88519333468993,0.843982723394115,0.804690693960766,0.88519333468993
"10","MississippiDownstream",10,241751805.940713,0.913886934913789,0.512708550037515,0.655479845315222,0.40369996656203,0.731642667357525,0.687954042856772,0.778105750784843,0.796032678450997,0.90965737742663,0.996415685838961,0.952048776211697,0.90965737742663,0.996415685838961
"11","MississippiDownstream",11,241751805.940713,0.737035099237017,0.665279142903554,0.859271911631635,0.523645792756027,0.593152659620197,0.557828906227608,0.630713241759116,0.643590321692299,0.736433492368915,0.806395167176736,0.770620794483797,0.736433492368915,0.806395167176736
"12","MississippiDownstream",12,241751805.940713,0.913710532693959,0.635260923003482,0.805936899864132,0.50396183897656,0.737485302083425,0.693321937593082,0.784461811168068,0.804712734359691,0.918296331280976,1.00624408180367,0.961264910489118,0.918296331280976,1.00624408180367
"13","MississippiDownstream",13,241751805.940713,0.56949130223193,0.459229648512785,0.588412692422826,0.355850785344885,0.453080910228697,0.42493571132097,0.483090278980919,0.513580742246028,0.575356799578131,0.633469587359406,0.603714364749457,0.575356799578131,0.633469587359406
"14","MississippiDownstream",14,241751805.940713,0.957692826709197,0.780452238465415,1.00068180463347,0.623859050921852,0.768226767093259,0.722462160833227,0.816890370852904,0.833824543371767,0.953959798291718,1.04462982193766,0.998265909391196,0.953959798291718,1.04462982193766
"15","MississippiDownstream",15,241751805.940713,1.67738920665573,0.945264441049652,1.21049969431465,0.748178241043278,1.33754845557782,1.26048140471875,1.41932748649023,1.40441876237944,1.63272799013084,1.7805066615721,1.7050170114917,1.63272799013084,1.7805066615721
