"","river","timestep","sa","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2012_low","FCO2_raymond2012_high","FCO2_raymond2013","FCO2_raymond2013_low","FCO2_raymond2013_high","FCO2_Lauerwald2015","FCO2_Lauerwald2015_low","FCO2_Lauerwald2015_high"
"1","Cumberland",1,7924445.6597145,0.287190699042598,0.444250191942615,0.63844569083776,0.308109250216058,0.236228483237848,0.224239706152472,0.248858229670128,0.269441983972794,0.271592797984956,0.2919047674745,0.281565680686952,0.271592797984956,0.2919047674745
"2","Cumberland",2,7924445.6597145,0.327914917040904,0.330485414383187,0.532166841943944,0.211752225168736,0.29669870668226,0.28175816078784,0.312431500750326,0.336181468389303,0.339947627841534,0.365068195554367,0.352284066607025,0.339947627841534,0.365068195554367
"3","Cumberland",3,7924445.6597145,0.649598779776435,0.551428589304389,0.871630670203932,0.362617291121323,0.555414761232175,0.52703623943935,0.58532134964438,0.637208070428255,0.640472844990625,0.688871488981767,0.664231491134817,0.640472844990625,0.688871488981767
"4","Cumberland",4,7924445.6597145,0.624650066460191,0.603202719679741,0.956799758938731,0.398967645538001,0.495653399946937,0.47062784527042,0.522009684282587,0.562755985444497,0.56856476743928,0.610751206072518,0.589280593079327,0.56856476743928,0.610751206072518
"5","Cumberland",5,7924445.6597145,0.439132708805886,0.655126186654414,1.02009131838119,0.418567685699826,0.392437807782913,0.372783590985189,0.413128251169114,0.442613049406231,0.448574496517436,0.481444393737695,0.464718922015065,0.448574496517436,0.481444393737695
"6","Cumberland",6,7924445.6597145,0.558303837169797,0.678534998130139,1.07813375151225,0.436533965195653,0.474136334004851,0.45138152131133,0.498038250608439,0.51631945891552,0.53221937225417,0.568712859608238,0.550163613049543,0.53221937225417,0.568712859608238
"7","Cumberland",7,7924445.6597145,0.967052898494153,1.00835182306626,1.58129246584899,0.667352904059682,0.783933203987347,0.744885348621456,0.825027999907462,0.880130691755584,0.893956093008227,0.958912334095413,0.925864742985181,0.893956093008227,0.958912334095413
"8","Cumberland",8,7924445.6597145,0.785752982349854,1.13962651342194,1.82602715640687,0.723414344822677,0.678475109000059,0.644275574648759,0.714490028436361,0.769173414540568,0.777714938154906,0.83527290712125,0.805980283342184,0.777714938154906,0.83527290712125
"9","Cumberland",9,7924445.6597145,1.84477736441251,3.18392971343629,4.98585115771747,2.06641330089513,1.36819456426706,1.30609614185982,1.4332454613094,1.42633433970105,1.50156286256232,1.59577773431338,1.54795367521717,1.50156286256232,1.59577773431338
"10","Cumberland",10,7924445.6597145,2.82432867288804,4.01715609699059,6.48606911953379,2.56213996870738,1.91311478252666,1.83344136592041,1.9962504793127,1.87359176848688,2.03292254056707,2.14364251269621,2.08754859632825,2.03292254056707,2.14364251269621
"11","Cumberland",11,7924445.6597145,5.8438031625999,7.18162847589952,11.6033056416047,4.61224989507789,3.74443768921832,3.59596198611523,3.89904436028628,3.54748444651242,3.91130684894035,4.10723346665422,4.00807290949281,3.91130684894035,4.10723346665422
"12","Cumberland",12,7924445.6597145,3.43102638026369,6.99290221956331,11.0891142434669,4.46351456256675,2.18033226362789,2.0920071142714,2.27238658148165,2.09481789324344,2.29434012141699,2.41357333996647,2.35320165218362,2.29434012141699,2.41357333996647
"13","Cumberland",13,7924445.6597145,4.01176422427818,6.20559195558617,10.019978648529,4.06196471693475,2.0176957496372,1.94365280798436,2.09455986490782,1.81978346636084,2.05485892654993,2.14457662508303,2.09923826963437,2.05485892654993,2.14457662508303
"14","Cumberland",14,7924445.6597145,3.87147627544555,5.58660148836792,9.0404094846304,3.59921393340159,2.68297131784901,2.57122153028118,2.79957800935635,2.62787957446546,2.85112947702171,3.0064476372653,2.9277587482388,2.85112947702171,3.0064476372653
"15","Cumberland",15,7924445.6597145,7.99707011099018,10.1113731417435,16.4064124047098,6.49310222533997,5.06887686147705,4.86858936996294,5.27740471063251,4.79102448869822,5.2884491691768,5.55175427514403,5.41850218202986,5.2884491691768,5.55175427514403
