"","river","timestep","sa","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2012_low","FCO2_raymond2012_high","FCO2_raymond2013","FCO2_raymond2013_low","FCO2_raymond2013_high","FCO2_Lauerwald2015","FCO2_Lauerwald2015_low","FCO2_Lauerwald2015_high"
"1","MississippiUpstream",1,125726134.13848,0.201666472780765,0.0978919767430065,0.120181279306707,0.080546404935714,0.164976015161258,0.155876244262513,0.174607017924403,0.177866419406689,0.197098542472948,0.213820232771864,0.205289199191587,0.197098542472948,0.213820232771864
"2","MississippiUpstream",2,125726134.13848,0.300071051424836,0.106630238215334,0.135207187760457,0.0857464952576508,0.247266713162091,0.233924233820085,0.26137021695557,0.261290531263919,0.292338730743622,0.316337535538939,0.304101484971173,0.292338730743622,0.316337535538939
"3","MississippiUpstream",3,125726134.13848,0.39947067175498,0.144746940308753,0.181907231199981,0.116398692928031,0.324645440149157,0.307198495287321,0.343083262993624,0.341730856309305,0.383092008612313,0.414349685156094,0.398414423235083,0.383092008612313,0.414349685156094
"4","MississippiUpstream",4,125726134.13848,0.27165341134004,0.117902603032074,0.149706608046291,0.0949620258750307,0.220476509026768,0.208372709795646,0.233283385795085,0.236681943968501,0.262808579402334,0.284948248302603,0.273654607136394,0.262808579402334,0.284948248302603
"5","MississippiUpstream",5,125726134.13848,0.518672302709747,0.201343656429866,0.257896120101938,0.159681187137249,0.429054192258892,0.405649702661461,0.453809047780024,0.457863452671763,0.509877126481203,0.552422298798741,0.530723549541326,0.509877126481203,0.552422298798741
"6","MississippiUpstream",6,125726134.13848,0.302974871787746,0.168378899867865,0.212259949986237,0.134865692023355,0.251578345455948,0.23787146243024,0.266075061385615,0.26816441391325,0.298798235984193,0.323685550573229,0.310993040797544,0.298798235984193,0.323685550573229
"7","MississippiUpstream",7,125726134.13848,0.418070998058471,0.206893205908784,0.260481706028012,0.16236651729673,0.346413657395202,0.327143946196119,0.366818411267393,0.376516624116987,0.415559553717977,0.451262238729842,0.433043108301829,0.415559553717977,0.451262238729842
"8","MississippiUpstream",8,125726134.13848,0.532692010286026,0.306995211583729,0.388137898638457,0.245045452515189,0.445055885850194,0.419809388450561,0.471820670186576,0.49274619641924,0.539051828640269,0.58673096512732,0.562386336014892,0.539051828640269,0.58673096512732
"9","MississippiUpstream",9,125726134.13848,0.695360305895694,0.479637450880945,0.603579630197694,0.386594498683417,0.581906491763564,0.548053940984822,0.617850082739737,0.6603481900773,0.713800029854164,0.779327486494859,0.745844468088715,0.713800029854164,0.779327486494859
"10","MississippiUpstream",10,125726134.13848,0.733260028858823,0.413131485266548,0.517283661177237,0.327842968968797,0.612375109273888,0.578145669184311,0.648631132460346,0.66855744995029,0.736343069823376,0.800063182139892,0.76754216214437,0.736343069823376,0.800063182139892
"11","MississippiUpstream",11,125726134.13848,0.661091995617726,0.544904134497993,0.685198606227119,0.43970656484994,0.558622650446697,0.526017038419331,0.593249349043545,0.635943111275744,0.686395580377635,0.749713592553127,0.717356324582259,0.686395580377635,0.749713592553127
"12","MississippiUpstream",12,125726134.13848,0.713361178630348,0.509612612180775,0.637119988112164,0.417390586230924,0.597771480852742,0.563698848507004,0.633903633935898,0.665008007472753,0.725750946559991,0.790400612712405,0.75738628487167,0.725750946559991,0.790400612712405
"13","MississippiUpstream",13,125726134.13848,0.504235823099638,0.381189124231107,0.478809440954188,0.306882506521478,0.423871968023326,0.399044085398519,0.450244602324304,0.484229132135303,0.521765344713637,0.570146320365491,0.545419646643958,0.521765344713637,0.570146320365491
"14","MississippiUpstream",14,125726134.13848,0.797286431186986,0.626887734645443,0.782694164276455,0.505326200205844,0.666422697641805,0.628316389988904,0.706840093623634,0.743608260139971,0.810382039577498,0.882909344674135,0.845868706751288,0.810382039577498,0.882909344674135
"15","MississippiUpstream",15,125726134.13848,1.24946071763146,0.736732387898696,0.931234573839465,0.592593725717799,1.04818800166195,0.989882478783186,1.1099278064766,1.13911628404572,1.25739776656726,1.36542307223235,1.31029764522182,1.25739776656726,1.36542307223235
