"","river","time","kobs","kest_mean","kest_low","kest_high","kest_sd"
"2","Cumberland",1,1.40134450608243,0.933099143190858,0.628714083761446,1.32671357653689,0.179901106011318
"3","Cumberland",2,2.0135354898669,1.59354895109748,0.967779125779016,2.43495238157761,0.376879814229309
"4","Cumberland",3,1.64184117806478,1.32318471939041,0.815958732415273,2.00481475229697,0.306565191299343
"5","Cumberland",4,1.21452470528824,0.816808009843918,0.513215792474727,1.23556703696958,0.187696244250613
"6","Cumberland",5,1.90345626933038,1.39951284547655,0.853253229750872,2.12115068932597,0.33071817901334
"7","Cumberland",6,1.53867609061632,1.15493846567336,0.691892822426917,1.79301615773886,0.279262907366863
"8","Cumberland",7,1.2918778758391,0.731153783378838,0.442830767833203,1.12164136011809,0.170121037654221
"9","Cumberland",8,1.6524849629391,1.33937675330776,0.827027111367206,2.01785160764697,0.31373927283154
"10","Cumberland",9,0.889404941966339,0.767383522468608,0.479056234223693,1.16671073243289,0.186330856411193
"11","Cumberland",10,0.613557928705666,0.366479645244884,0.21844816954633,0.565297743697975,0.0896488847742736
"12","Cumberland",11,0.473771491649803,0.430555068796772,0.255431708491596,0.671931442483351,0.107923905474294
"13","Cumberland",12,0.455988700609218,0.443871737813946,0.269265581094563,0.68238970836402,0.107745758932737
"14","Cumberland",13,0.28206294551476,0.458831249027876,0.28603162935886,0.701468805324472,0.10766441652199
"15","Cumberland",14,0.679509561218464,0.674867938081055,0.395941546200164,1.03999839924592,0.168972202353954
"16","Cumberland",15,0.467149090682385,0.398431360111368,0.240728374232696,0.629309453666209,0.0991246606303814
"17","Ganges",1,1.60756272991789,1.87960016747507,1.58683420702904,2.20598583258593,0.162168076338404
"18","Ganges",2,1.60015209695654,2.13356778043382,1.76256267721242,2.59025910490774,0.205777737832981
"19","Ganges",3,1.60294503446851,1.76908100471844,1.4590331075986,2.13019776598333,0.167002718145137
"20","Ganges",4,1.56296805804247,2.14316290431862,1.77169095825248,2.59330678025168,0.20610524490386
"21","Ganges",5,1.55188247511388,1.67322466734244,1.39000945162955,2.05031068343868,0.166501099880094
"22","Ganges",6,1.58101083578826,1.61710325971158,1.3418249400267,1.95920672622993,0.157132810081678
"23","Ganges",7,1.5706673094453,1.96215888879279,1.62207747570282,2.36848539446709,0.195731481559758
"24","Ganges",8,1.51942479151634,1.95383931798563,1.60364959893944,2.35300704830212,0.191521734799977
