"","r2","rmse","Model"
"1",0.75,2.28,"RS-able"
"2",NA,NA,"Raymond_1"
"3",0.74,2.31,"Raymond_2"
"4",0.75,2.29,"Raymond_3"
"5",0.82,2.03,"Ulseth"
