"","slopeRegime","k600_hat","k600_hat_mean","k600_sd","lowerbound_k600","upperbound_k600","n"
"1",1,1.48883,2.49893955555556,3.12443483619398,0.56413,17.1113,45
"2",2,2.45927,3.48413729641694,3.22732381778464,0.42775,24.64,307
"3",3,6.04711,13.5569113409962,22.5093258163277,0.1,176.93,261
"4",4,79.464785,311.526468977273,653.9666717237,1.8,4117.80089,88
