"","river","key","kge","nrmse","rBIAS","rrmse"
"1","Cumberland","FCO2_BIKER",0.439233575498239,0.616960477583299,0.412790483496617,0.463089843960401
"2","Cumberland","FCO2_Lauerwald2015",0.553118624462453,0.454608890886943,-0.272386269639086,0.215664370987294
"3","Cumberland","FCO2_raymond2012",0.486373609059015,0.515907203882536,-0.33586625898525,0.270911528708541
"4","Cumberland","FCO2_raymond2013",0.44561355342097,0.559430431389788,-0.344392903372361,0.26610391216035
"5","Ganges","FCO2_BIKER",0.77547743734401,0.284093886202686,-0.186035782785204,0.289542839607545
"6","Ganges","FCO2_Lauerwald2015",0.844069543517972,0.120571338050743,-0.0788479114907233,0.0854412968085181
"7","Ganges","FCO2_raymond2012",0.615079783576064,0.31187894277816,-0.26306910400487,0.256506029563528
"8","Ganges","FCO2_raymond2013",0.643617402610575,0.280528201759109,-0.215984950473748,0.204504408513167
"9","GaronneDownstream","FCO2_BIKER",0.590060203762456,0.37154003456642,0.149428475506412,0.364785247517687
"10","GaronneDownstream","FCO2_Lauerwald2015",0.908091647712922,0.0851533263116377,0.0459174580333414,0.0847584024901781
"11","GaronneDownstream","FCO2_raymond2012",0.921732755638852,0.0738904322312953,-0.0624439879810749,0.0737790472374743
"12","GaronneDownstream","FCO2_raymond2013",0.966322010815288,0.0786233437675322,-0.0157585558387561,0.0937879429972592
"13","GaronneUpstream","FCO2_BIKER",0.69966835535338,0.274404082323576,-0.162804257823263,0.339534452064595
"14","GaronneUpstream","FCO2_Lauerwald2015",0.836664769043911,0.101269710317497,0.0678109577961936,0.0784716854207482
"15","GaronneUpstream","FCO2_raymond2012",0.970284419915506,0.0236679021731289,-0.00311281751569078,0.0255351063797368
"16","GaronneUpstream","FCO2_raymond2013",0.841343575063402,0.094904421999368,0.0407541607401809,0.0776258286888752
"17","Kanawha","FCO2_BIKER",0.815707622339312,0.247151719497067,0.146157405667657,0.309698181747695
"18","Kanawha","FCO2_Lauerwald2015",0.649510823284461,0.323330711319963,-0.204374310901609,0.175301014425815
"19","Kanawha","FCO2_raymond2012",0.549303433173984,0.41786977370193,-0.288959630550265,0.258312359233365
"20","Kanawha","FCO2_raymond2013",0.56082700914316,0.405856996427327,-0.264814724132835,0.228421202032125
"21","Kushiyara","FCO2_BIKER",0.649341732660895,0.428717946293696,0.170565035877694,0.483310915192129
"22","Kushiyara","FCO2_Lauerwald2015",0.740679586177655,0.228539589308429,-0.147969273437758,0.160443234829093
"23","Kushiyara","FCO2_raymond2012",0.624963059051159,0.302357906373566,-0.248130670660218,0.24352298989116
"24","Kushiyara","FCO2_raymond2013",0.639778234284231,0.313547527758499,-0.215266046998154,0.22579157495364
"25","MississippiDownstream","FCO2_BIKER",0.520365576051023,0.436190312340603,-0.354507653502696,0.394198608027342
"26","MississippiDownstream","FCO2_Lauerwald2015",0.950049232557508,0.0502708845429305,0.047060032010259,0.0556761400169146
"27","MississippiDownstream","FCO2_raymond2012",0.717366570106163,0.228820245203942,-0.199074437395403,0.199187837272413
"28","MississippiDownstream","FCO2_raymond2013",0.796130139298229,0.153901094117255,-0.121422190520551,0.114344539182356
"29","MississippiIntermediate","FCO2_BIKER",0.61428312464887,0.382373348025205,-0.344033783658298,0.397913124278771
"30","MississippiIntermediate","FCO2_Lauerwald2015",0.850402311579797,0.0847901623432547,0.0522623691153538,0.0708588292163214
"31","MississippiIntermediate","FCO2_raymond2012",0.808724830090681,0.170311022737504,-0.163621156674437,0.175756164686575
"32","MississippiIntermediate","FCO2_raymond2013",0.918164305565538,0.0932793187554255,-0.0815146291835076,0.109478772156967
"33","MississippiUpstream","FCO2_BIKER",0.542335875278072,0.433307641166159,-0.392375202307206,0.453620620732147
"34","MississippiUpstream","FCO2_Lauerwald2015",0.913537427993915,0.0624965255398468,0.0492802192023937,0.0499721193758104
"35","MississippiUpstream","FCO2_raymond2012",0.773095387671259,0.181507327835048,-0.166363236619259,0.169723238404243
"36","MississippiUpstream","FCO2_raymond2013",0.897756801058724,0.0918026269819373,-0.0830979779774628,0.0968894680332221
"37","OhioSection1","FCO2_BIKER",0.950162834458518,0.183807762394901,-0.00497404313107735,0.216594374862465
"38","OhioSection1","FCO2_Lauerwald2015",0.540490712336603,0.403480037584265,-0.268207984748958,0.225937997936515
"39","OhioSection1","FCO2_raymond2012",0.433941314435567,0.495573066737383,-0.361849115618257,0.312333167933047
"40","OhioSection1","FCO2_raymond2013",0.433247831595011,0.497187782593445,-0.343379270200424,0.286895409545843
"41","OhioSection2","FCO2_BIKER",-0.0220279625483935,0.929533161033263,0.649222614286278,0.635834444749681
"42","OhioSection2","FCO2_Lauerwald2015",0.598103680490529,0.358235484362894,-0.211225258195495,0.182021641711801
"43","OhioSection2","FCO2_raymond2012",0.470755065463088,0.467123495684969,-0.326684374463936,0.278388535447368
"44","OhioSection2","FCO2_raymond2013",0.471682838694288,0.468606377626065,-0.301737590842861,0.249027639553353
"45","OhioSection3","FCO2_BIKER",0.21218414214655,0.683085206223926,0.482752407186599,0.445988630342252
"46","OhioSection3","FCO2_Lauerwald2015",0.628072276780328,0.319881889873908,-0.185459574883499,0.166211747146576
"47","OhioSection3","FCO2_raymond2012",0.487522089830738,0.441356529321381,-0.313523447442159,0.269777405173767
"48","OhioSection3","FCO2_raymond2013",0.492453580756096,0.436356209059505,-0.283042958034054,0.23646566019009
"49","OhioSection4","FCO2_BIKER",-0.478940421011016,1.35921450617652,1.02807708048678,1.11093080963007
"50","OhioSection4","FCO2_Lauerwald2015",0.561741137775742,0.399852896077119,-0.259542147835407,0.221939998689388
"51","OhioSection4","FCO2_raymond2012",0.415226013710141,0.524195913359557,-0.380390532802491,0.332295100719379
"52","OhioSection4","FCO2_raymond2013",0.433452706279677,0.512692849538295,-0.351473634967381,0.296345113491541
"53","OhioSection5","FCO2_BIKER",0.921704632640037,0.236989889592356,-0.0353268227785707,0.233818327658766
"54","OhioSection5","FCO2_Lauerwald2015",0.595669914826207,0.366906822196945,-0.204284038973295,0.178870379185715
"55","OhioSection5","FCO2_raymond2012",0.453381544185842,0.488261473932494,-0.334887704299451,0.284438019254421
"56","OhioSection5","FCO2_raymond2013",0.455051429890185,0.490278034274944,-0.306816177297201,0.251664286783053
"57","OhioSection7","FCO2_BIKER",0.503789539363799,0.519074570254207,-0.343921326517718,0.380066727897714
"58","OhioSection7","FCO2_Lauerwald2015",0.494886292201145,0.496588096248981,-0.272904611572806,0.217597858618184
"59","OhioSection7","FCO2_raymond2012",0.362794611591369,0.61288054666303,-0.396476671204626,0.328293905122661
"60","OhioSection7","FCO2_raymond2013",0.353618520413178,0.628669044025981,-0.377078742329647,0.295676569324311
"61","OhioSection8","FCO2_BIKER",0.454999402343722,0.484812522813803,-0.40414814684539,0.431451165125837
"62","OhioSection8","FCO2_Lauerwald2015",0.726333708530261,0.213461976108217,-0.13118877052869,0.132851641852505
"63","OhioSection8","FCO2_raymond2012",0.532254565465836,0.370961680244454,-0.299435121175918,0.279056291653799
"64","OhioSection8","FCO2_raymond2013",0.549962622345759,0.351934517493585,-0.256235980868133,0.232570882666391
"65","Padma","FCO2_BIKER",0.214304605454342,0.690519052704805,0.418262818319545,0.562253500218803
"66","Padma","FCO2_Lauerwald2015",0.652851765691032,0.308779116848215,-0.175151837836142,0.166943599803515
"67","Padma","FCO2_raymond2012",0.418325332624098,0.496314325901561,-0.373900526731115,0.358029831105536
"68","Padma","FCO2_raymond2013",0.434706954335614,0.486828448598113,-0.353030894727061,0.342055694934852
"69","SacramentoDownstream","FCO2_BIKER",0.882532640179898,0.135083732203623,-0.097880754941027,0.185044317404629
