"","river","key","kge","nrmse","rBIAS","rrmse"
"1","Cumberland","FCO2_BIKER",0.669819134041532,0.328413179957216,0.281675278986411,0.346515352904369
"2","Cumberland","FCO2_Lauerwald2015",0.478658327318159,0.424117234060179,-0.248406726441947,0.215310233677423
"3","Cumberland","FCO2_raymond2012",0.431259131577111,0.472024062215306,-0.322207853529401,0.270657313361515
"4","Cumberland","FCO2_raymond2013",0.375168044996127,0.509824561839756,-0.316527509059164,0.265763240813087
"5","Ganges","FCO2_BIKER",0.686440405859936,0.263755136238323,-0.249529605208367,0.259216133845549
"6","Ganges","FCO2_Lauerwald2015",0.940396613682605,0.0756472535281628,-0.0478295836082274,0.077787386206173
"7","Ganges","FCO2_raymond2012",0.651025245174842,0.261838933073754,-0.25398562136129,0.254952027112552
"8","Ganges","FCO2_raymond2013",0.803001138162061,0.195378252471489,-0.177108796668353,0.196339919990765
"9","GaronneDownstream","FCO2_BIKER",0.81329272325928,0.108598634648236,-0.0316915427902602,0.0878146684670004
"10","GaronneDownstream","FCO2_Lauerwald2015",0.891574508092728,0.0771747693307911,0.0182788302442376,0.0801298181087776
"11","GaronneDownstream","FCO2_raymond2012",0.840442893785121,0.0985509787938691,-0.0760367537134981,0.0754734737071673
"12","GaronneDownstream","FCO2_raymond2013",0.793846032087218,0.122991542209112,-0.0500421630053146,0.0927582407200268
"13","GaronneUpstream","FCO2_BIKER",0.533579213027671,0.314986559646932,-0.277710792475264,0.270955677481012
"14","GaronneUpstream","FCO2_Lauerwald2015",0.934803240762928,0.0609552515764249,0.039706860883098,0.073259217061364
"15","GaronneUpstream","FCO2_raymond2012",0.942065438389799,0.0314146242172858,-0.0150639185536673,0.0244155224472997
"16","GaronneUpstream","FCO2_raymond2013",0.883125928774314,0.0727991533322733,0.00268718794199121,0.0734214581963172
"17","Kanawha","FCO2_BIKER",0.880199725083543,0.1052098956392,0.0967709486973761,0.106518327803576
"18","Kanawha","FCO2_Lauerwald2015",0.603069470383536,0.244590910211948,-0.182895039859159,0.175180012869917
