"","river","timestep","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2012_low","FCO2_raymond2012_high","FCO2_raymond2013","FCO2_raymond2013_low","FCO2_raymond2013_high","FCO2_Lauerwald2015","FCO2_Lauerwald2015_low","FCO2_Lauerwald2015_high","sa"
"2","Cumberland",1,0.287190699042598,0.444250191942615,0.63844569083776,0.308109250216058,0.236228483237848,0.224239706152472,0.248858229670128,0.269441983972794,0.271592797984956,0.2919047674745,0.281565680686952,0.271592797984956,0.2919047674745,7566509204.31
"3","Cumberland",2,0.327914917040904,0.330485414383187,0.532166841943944,0.211752225168736,0.29669870668226,0.28175816078784,0.312431500750326,0.336181468389303,0.339947627841534,0.365068195554367,0.352284066607025,0.339947627841534,0.365068195554367,7566509204.31
"4","Cumberland",3,0.649598779776435,0.551428589304389,0.871630670203932,0.362617291121323,0.555414761232175,0.52703623943935,0.58532134964438,0.637208070428255,0.640472844990625,0.688871488981767,0.664231491134817,0.640472844990625,0.688871488981767,7566509204.31
"5","Cumberland",4,0.624650066460191,0.603202719679741,0.956799758938731,0.398967645538001,0.495653399946937,0.47062784527042,0.522009684282587,0.562755985444497,0.56856476743928,0.610751206072518,0.589280593079327,0.56856476743928,0.610751206072518,7566509204.31
"6","Cumberland",5,0.439132708805886,0.655126186654414,1.02009131838119,0.418567685699826,0.392437807782913,0.372783590985189,0.413128251169114,0.442613049406231,0.448574496517436,0.481444393737695,0.464718922015065,0.448574496517436,0.481444393737695,7566509204.31
"7","Cumberland",6,0.558303837169797,0.678534998130139,1.07813375151225,0.436533965195653,0.474136334004851,0.45138152131133,0.498038250608439,0.51631945891552,0.53221937225417,0.568712859608238,0.550163613049543,0.53221937225417,0.568712859608238,7566509204.31
"8","Cumberland",7,0.967052898494153,1.00835182306626,1.58129246584899,0.667352904059682,0.783933203987347,0.744885348621456,0.825027999907462,0.880130691755584,0.893956093008227,0.958912334095413,0.925864742985181,0.893956093008227,0.958912334095413,7566509204.31
"9","Cumberland",8,0.785752982349854,1.13962651342194,1.82602715640687,0.723414344822677,0.678475109000059,0.644275574648759,0.714490028436361,0.769173414540568,0.777714938154906,0.83527290712125,0.805980283342184,0.777714938154906,0.83527290712125,7566509204.31
"10","Cumberland",9,1.84477736441251,3.18392971343629,4.98585115771747,2.06641330089513,1.36819456426706,1.30609614185982,1.4332454613094,1.42633433970105,1.50156286256232,1.59577773431338,1.54795367521717,1.50156286256232,1.59577773431338,7566509204.31
"11","Cumberland",10,2.82432867288804,4.01715609699059,6.48606911953379,2.56213996870738,1.91311478252666,1.83344136592041,1.9962504793127,1.87359176848688,2.03292254056707,2.14364251269621,2.08754859632825,2.03292254056707,2.14364251269621,7566509204.31
"12","Cumberland",11,5.8438031625999,7.18162847589952,11.6033056416047,4.61224989507789,3.74443768921832,3.59596198611523,3.89904436028628,3.54748444651242,3.91130684894035,4.10723346665422,4.00807290949281,3.91130684894035,4.10723346665422,7566509204.31
"13","Cumberland",12,3.43102638026369,6.99290221956331,11.0891142434669,4.46351456256675,2.18033226362789,2.0920071142714,2.27238658148165,2.09481789324344,2.29434012141699,2.41357333996647,2.35320165218362,2.29434012141699,2.41357333996647,7566509204.31
"14","Cumberland",13,4.01176422427818,6.20559195558617,10.019978648529,4.06196471693475,2.0176957496372,1.94365280798436,2.09455986490782,1.81978346636084,2.05485892654993,2.14457662508303,2.09923826963437,2.05485892654993,2.14457662508303,7566509204.31
"15","Cumberland",14,3.87147627544555,5.58660148836792,9.0404094846304,3.59921393340159,2.68297131784901,2.57122153028118,2.79957800935635,2.62787957446546,2.85112947702171,3.0064476372653,2.9277587482388,2.85112947702171,3.0064476372653,7566509204.31
"16","Cumberland",15,7.99707011099018,10.1113731417435,16.4064124047098,6.49310222533997,5.06887686147705,4.86858936996294,5.27740471063251,4.79102448869822,5.2884491691768,5.55175427514403,5.41850218202986,5.2884491691768,5.55175427514403,7566509204.31
"17","Ganges",1,0.352398003244048,0.211932158363874,0.256496834568474,0.179659108033475,0.263059914426943,0.248488287204371,0.278486040234941,0.278492231334,0.314924992687193,0.341812663485179,0.328093507497559,0.314924992687193,0.341812663485179,7566509204.31
"18","Ganges",2,0.51948268006242,0.236571489451444,0.287262820974047,0.198563982265126,0.3837780982188,0.362703384397151,0.406077351905626,0.402964359282913,0.457526228369412,0.496085653624948,0.476415990723444,0.457526228369412,0.496085653624948,7566509204.31
"19","Ganges",3,0.413965428622164,0.313038983654109,0.377021962203262,0.262345775928887,0.318041797614988,0.30061894399899,0.336474422451738,0.333361822166146,0.378720603198978,0.410523603771177,0.39430159273453,0.378720603198978,0.410523603771177,7566509204.31
"20","Ganges",4,0.552288325404572,0.251914928789059,0.304701391869444,0.209415986338649,0.409309970883111,0.387036817607659,0.432864900619016,0.426210984538818,0.485850334297283,0.526242728808994,0.50564335622221,0.485850334297283,0.526242728808994,7566509204.31
"21","Ganges",5,0.747254877013711,0.454641220397244,0.555442877899998,0.38080722900931,0.545864801321114,0.516340802997108,0.577076961462284,0.565396655033158,0.646079518029381,0.699305139662846,0.672165699107164,0.646079518029381,0.699305139662846,7566509204.31
"22","Ganges",6,0.515114729829442,0.377164040525645,0.465723806139107,0.310988129736383,0.385343082679769,0.364435290517851,0.407450364701025,0.400072403551703,0.456768530964833,0.494577031290023,0.475296984026029,0.456768530964833,0.494577031290023,7566509204.31
"23","Ganges",7,0.825496901730514,0.452401695448332,0.552609703618076,0.374175462292892,0.609906660252189,0.577037179520454,0.644648472432015,0.629481200649602,0.720658405989365,0.779708215605032,0.749602078860266,0.720658405989365,0.779708215605032,7566509204.31
"24","Ganges",8,0.794624638179065,0.703465804422819,0.86440474148754,0.583758821527635,0.570996130468796,0.540686821508308,0.603005011991267,0.582268572665028,0.669950161993483,0.723615776269366,0.696265817148484,0.669950161993483,0.723615776269366,7566509204.31
"25","Ganges",9,1.52362875332441,1.06384357200908,1.29142840976727,0.883523006600944,1.11375850536308,1.05454363806764,1.17629843591743,1.13555541995329,1.30770243020247,1.41268552521347,1.35918073082346,1.30770243020247,1.41268552521347,7566509204.31
"26","Ganges",10,1.27696072279619,0.9612780479984,1.18731666968667,0.79744166969152,0.924431714840695,0.875736600913691,0.975834509077422,0.934693525072793,1.08077375572247,1.16632857005756,1.1227365265895,1.08077375572247,1.16632857005756,7566509204.31
"27","Ganges",11,1.2505530044753,1.26965650774001,1.55831352521863,1.06156825803982,0.917841781882802,0.869634473943929,0.968721419164482,0.925699938415443,1.071638136509,1.15609576836594,1.11306617377914,1.071638136509,1.15609576836594,7566509204.31
"28","Ganges",12,1.84610401686994,1.30681229505236,1.59990170618755,1.09171120187931,1.31304757605414,1.24451708624017,1.38535214364339,1.31710007844231,1.52867595286755,1.64801214781487,1.58722268452392,1.52867595286755,1.64801214781487,7566509204.31
"29","Ganges",13,0.861808774159719,0.842439149243837,1.04240677999424,0.70081866566648,0.617467736694694,0.584541871491629,0.652248238953958,0.6316129381415,0.72598444129883,0.784527295862921,0.754688419116532,0.72598444129883,0.784527295862921,7566509204.31
"30","Ganges",14,1.54270257765519,1.44474508778523,1.76136071344087,1.19792249867391,1.13095375475826,1.07045896558171,1.19486728757022,1.15935939678782,1.33163893212324,1.43952632440164,1.38453215546326,1.33163893212324,1.43952632440164,7566509204.31
"31","Ganges",15,2.23826400217807,1.76541572542743,2.16939643753487,1.44634164681346,1.63574328861339,1.54796358463893,1.72850068304113,1.6817928054758,1.92891640798135,2.08595863136693,2.00590124874147,1.92891640798135,2.08595863136693,7566509204.31
"32","Ganges",16,1.21098891319271,1.47008268154508,1.77955887997119,1.23678314659614,0.880165659537491,0.831553650720145,0.931619583759455,0.929966692834088,1.05221097190206,1.14165639403033,1.09602156164514,1.05221097190206,1.14165639403033,7566509204.31
"33","Ganges",17,1.47572757553481,1.2322417387646,1.50679373259137,1.01721224808116,1.09229147182426,1.03061610218461,1.15765772942298,1.17750817788192,1.31995159228457,1.43590251036639,1.37670684811285,1.31995159228457,1.43590251036639,7566509204.31
"34","Ganges",18,0.833600429102188,0.833227559521744,1.00860011753347,0.698941148311296,0.642209983217374,0.604055062030971,0.682774951529121,0.727837552134871,0.796358066184484,0.871751982350554,0.833202686952458,0.796358066184484,0.871751982350554,7566509204.31
"35","Ganges",19,0.574575050425607,0.635930545002097,0.779161674544494,0.531726915253046,0.429425417235619,0.403000276413553,0.457583284836782,0.504438410904479,0.542525925372039,0.59658016189163,0.568911418501258,0.542525925372039,0.59658016189163,7566509204.31
"36","Ganges",20,0.760508960557623,0.633780975757193,0.766616010614986,0.529730141173094,0.58270381031751,0.54466959869398,0.623393953999536,0.729685336797961,0.7608061063029,0.843309487558906,0.800996254493759,0.7608061063029,0.843309487558906,7566509204.31
"37","Ganges",21,0.378401218638916,0.455379245225484,0.557996312260957,0.37979540436687,0.299363552462128,0.280594896124474,0.319387629804818,0.359325599370069,0.382085636064147,0.421194494513253,0.401163759911944,0.382085636064147,0.421194494513253,7566509204.31
"38","Ganges",22,0.196857618673804,0.157402965529963,0.191879173724642,0.131698291480717,0.150646193318475,0.140846534523942,0.161127684851683,0.187934531282094,0.196307475388864,0.217492582873933,0.206628698354137,0.196307475388864,0.217492582873933,7566509204.31
"39","Ganges",23,0.343384391068846,0.221174842310712,0.271641660195232,0.184609388340903,0.260152705416001,0.243198565260455,0.278288776653493,0.325194665841782,0.339362280427487,0.376081375942377,0.357250376263307,0.339362280427487,0.376081375942377,7566509204.31
"40","Ganges",24,0.274282013216358,0.245033542093656,0.296944281203911,0.204157960310908,0.211264908413196,0.197903269341433,0.22552867259611,0.255586494494445,0.270953490870656,0.299038435811691,0.284649798678494,0.270953490870656,0.299038435811691,7566509204.31
"41","Ganges",25,0.678256060977491,0.357243382507745,0.43598385509426,0.295098840266275,0.515300343088889,0.482064588976101,0.550827529496424,0.636779163213608,0.668221046569706,0.739458993208095,0.702938159958246,0.668221046569706,0.739458993208095,7566509204.31
"42","Ganges",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"43","Ganges",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"44","Ganges",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"45","Ganges",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"46","Ganges",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"47","Ganges",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"48","Ganges",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"49","Ganges",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"50","Ganges",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7566509204.31
"51","GaronneDownstream",1,0.185988480727164,0.17047460544543,0.219656428215628,0.134926641228464,0.176866498448043,0.168925954858923,0.185180295706461,0.188584156110033,0.193284477973164,0.20520068979276,0.199153479021399,0.193284477973164,0.20520068979276,7566509204.31
"52","GaronneDownstream",2,0.341938219992953,0.198397227776518,0.265531406272967,0.150716113874468,0.3250128096919,0.310402900950455,0.340310371412648,0.346870901791057,0.355354957592127,0.377307330234457,0.366166670078029,0.355354957592127,0.377307330234457,7566509204.31
"53","GaronneDownstream",3,0.276785011505441,0.288976792141034,0.380258031911809,0.223151507591915,0.269992258110392,0.256954581573119,0.283691456408093,0.304723136088606,0.3038481748836,0.324885234790488,0.314190683481726,0.3038481748836,0.324885234790488,7566509204.31
"54","GaronneDownstream",4,0.200678490414187,0.2081461866662,0.271580061780336,0.158250182335848,0.192829261388264,0.183911230628431,0.202179735964135,0.210315946969434,0.213207625798018,0.226994615693497,0.219993143253747,0.213207625798018,0.226994615693497,7566509204.31
"55","GaronneDownstream",5,0.481753344371421,0.375798618485638,0.499376861770745,0.287818020047106,0.467021025449611,0.445155335240011,0.489960742230916,0.514267474095481,0.518934853363919,0.55315392383814,0.535771266517023,0.518934853363919,0.55315392383814,7566509204.31
"56","GaronneDownstream",6,0.342010169247958,0.314493158869538,0.416585190564074,0.243300752914197,0.328615962947835,0.313403835501828,0.3445664650369,0.358672728128398,0.363480213241216,0.387019607079776,0.375065285647153,0.363480213241216,0.387019607079776,7566509204.31
"57","GaronneDownstream",7,0.218300724683106,0.374942922233777,0.499216536388944,0.285153202392303,0.216812137975118,0.206851496758758,0.227252419791042,0.235250490013512,0.239089338390771,0.254386175480477,0.246619184955612,0.239089338390771,0.254386175480477,7566509204.31
"58","GaronneDownstream",8,0.514865424985205,0.553929618392117,0.734910384821827,0.424237383183163,0.487347503949829,0.465723008524357,0.509976070226966,0.515101975039421,0.53018232063454,0.562251723717632,0.54598161465533,0.53018232063454,0.562251723717632,7566509204.31
